jar	entry	size	compressed_size	crc32	method	sha256
HdrHistogram-2.1.12.jar	META-INF/MANIFEST.MF	1225	624	d9d74a4f	deflated	3298d59ffa8aa5b681388adbdbd81c4999d27ed3e44e1a1db22f8af1e9d3d20e
HdrHistogram-2.1.12.jar	META-INF/maven/org.hdrhistogram/HdrHistogram/pom.properties	139	124	3ba2cae9	deflated	65d79caa85ec0dd68a8e7113e953da49744933eec0ec10f52dfe87a705fdf5bf
HdrHistogram-2.1.12.jar	META-INF/maven/org.hdrhistogram/HdrHistogram/pom.xml	10800	2024	7d4e5c41	deflated	7fb3e790c154d1b5e23170bb8cbf7f70ef0809af17229f1dcb010d7799651080
activemq-artemis-native-2.0.0.jar	META-INF/DEPENDENCIES	273	117	2d6614c9	deflated	0f8b0440fc845ecb7b6a6e29aed591c4e135cfb6a6637ea958107fbdd5de2c89
activemq-artemis-native-2.0.0.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
activemq-artemis-native-2.0.0.jar	META-INF/MANIFEST.MF	1858	813	78564540	deflated	8fc316df464ed2213444b89a4ed9651ad1da0b36d1959994fa819e6892b6461f
activemq-artemis-native-2.0.0.jar	META-INF/NOTICE	175	128	c8c3fe55	deflated	f635070a0b034418e30c82aae83d21a76989ecfa22d44fc3c5a4815d22675f77
activemq-artemis-native-2.0.0.jar	META-INF/maven/org.apache.activemq/activemq-artemis-native/pom.properties	77	67	3f34bfa2	deflated	e3299ddb3dea35c108295b63fedd36a9791058177ebc9ec02e79d4ffc9acc7fe
activemq-artemis-native-2.0.0.jar	META-INF/maven/org.apache.activemq/activemq-artemis-native/pom.xml	26784	4058	87161bf4	deflated	074ef944db54006bc26abe76aa0faedb142235ea131ec3dbd500992bdd48e36c
activemq-artemis-native-2.0.0.jar	lib/linux-i686/libartemis-native-32.so	27300	10053	ca621caa	deflated	8e115b882656affb79365af2be71c6737422b9ca51fe0215469fd5bbf1ea30a0
activemq-artemis-native-2.0.0.jar	lib/linux-x86_64/libartemis-native-64.so	29096	10084	153aa0fe	deflated	ce8af8d3ce8d4705c600927cd06997e6ed524e8eb44fed68dbc1c2882ddfa2b8
annotations-2.15.66.jar	META-INF/LICENSE.txt	11679	4051	ba81ea6b	deflated	14c6a5fbdbd6b87244abeb494712b9922d43f53afb658a42014c66da8e0c4403
annotations-2.15.66.jar	META-INF/MANIFEST.MF	154	134	29afd316	deflated	547fb306f34b5cc06db98691a0ed01a026d9fd582fff04a6aaf57025b3cabeff
annotations-2.15.66.jar	META-INF/NOTICE.txt	775	446	2311f95b	deflated	b5bbdba9fccbdae9fef728b4d17c5d14dbaa9fb2476afa32d68f7dbe3472dddd
annotations-2.15.66.jar	META-INF/maven/software.amazon.awssdk/annotations/pom.properties	101	97	1b585124	deflated	08cbc3b6d77a8556337dd9902c5898b183f158609d569598341df5f34caaab64
annotations-2.15.66.jar	META-INF/maven/software.amazon.awssdk/annotations/pom.xml	1685	732	03f53b27	deflated	4fcf82d0c7e2426c3ce86930849de6663c5c30f574247ddf4aa1433981bce0d3
anomalies-0.1.12.jar	COPYRIGHT	47	46	f7897766	deflated	9558711bcd62b6ebcb1752295198c291268c4d137c90c23672688e189da2a566
anomalies-0.1.12.jar	LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
anomalies-0.1.12.jar	META-INF/MANIFEST.MF	25	27	ee027fb2	deflated	566ad1a80220026d05099562645ce968ff0e7c36cde22634332605bb34cc3eff
anomalies-0.1.12.jar	META-INF/maven/com.cognitect/anomalies/pom.properties	134	113	e9acf2a7	deflated	298f1fd5346e3223e8ebf0fc987dc18d18a9c54deafca0efc74a350c2d1e4a47
anomalies-0.1.12.jar	META-INF/maven/com.cognitect/anomalies/pom.xml	1016	493	ba700f09	deflated	33211a6bef2c1ff2181ef3db7147a4f66d73a44ff451b41791a43ccfde4aa13a
anomalies-0.1.12.jar	cognitect/anomalies.clj	1082	550	8f500883	deflated	4151725d525af1832cee2e1e831f1bd22b7be892f3738a36e261339d0aba8be4
api-0.8.686.jar	META-INF/MANIFEST.MF	81	80	7928fefc	deflated	2a185c3a3a6b39d2987b2acabd0af36555390a556370ce50072b34e97c317963
api-0.8.686.jar	META-INF/maven/com.cognitect.aws/api/pom.properties	57	57	d64dd471	deflated	7455ca9b0e7a38548dfb45d405370a3300d816b214e54c252e5457a243cd00ed
api-0.8.686.jar	META-INF/maven/com.cognitect.aws/api/pom.xml	5889	1375	dd705274	deflated	9f663f2519b090a621c0ff061bb98cb136b8f2756d34185d41d0317454821bcc
api-0.8.686.jar	cognitect/aws/client/api.clj	11048	2835	e28a6ecc	deflated	e587ca55dee51ac02f0821a05152987fcb9f34ec9d226bf9a4d4926e3e69c5db
api-0.8.686.jar	cognitect/aws/client/api/async.clj	348	194	bda12832	deflated	65286c34252279f385e7f58b73aefeaa6cf6bba051c2c30c78ee7c23d5831d34
api-0.8.686.jar	cognitect/aws/client/impl.clj	5934	1682	e22bd3d5	deflated	259212db16f0f2a92794b60cce45c71a608fb083fa9d76f0a6e308c5608c10da
api-0.8.686.jar	cognitect/aws/client/protocol.clj	944	418	00093932	deflated	ba4c855e221a0b06c6d548385af5f42e347c299270bc2c4080336f4abeee3ff8
api-0.8.686.jar	cognitect/aws/client/shared.clj	1407	441	f9d00f2b	deflated	8826f5d1f14beb155e913cccae9febead456094ad0443e04e77ba89818c1a5d9
api-0.8.686.jar	cognitect/aws/client/test_double.clj	3850	1396	c34f99c3	deflated	4d53f94d0c320cb2a56cc20ea75ac247df0f81fbc4d77cd0e5ec189bcabc5489
api-0.8.686.jar	cognitect/aws/client/validation.clj	1735	558	16e2aa80	deflated	09462a4f5cab8f9f867a8981908cbc187cacabe83f28078de14304205f3df081
api-0.8.686.jar	cognitect/aws/config.clj	2067	708	64fdfbd2	deflated	5a33b6338c0f0ea0138db4482f8c7f99f1413411dadc00345ddd7585ac566a40
api-0.8.686.jar	cognitect/aws/credentials.clj	12580	3368	526e95c1	deflated	0280c116f7b77314ef9626caa89fe5ad6d83c73c8107d36aaab232a82a05dec2
api-0.8.686.jar	cognitect/aws/dynaload.clj	422	266	b643179d	deflated	ddafd083a7117f4e984214bb17602674d1c7cf2a3303fb25f3ce27b7dd1382c5
api-0.8.686.jar	cognitect/aws/ec2_metadata_utils.clj	3874	1307	55669bce	deflated	f69414e1ffeb5fd20baf86cbde5f95638dd7be52dad17f7b6346d80a8c0c3c98
api-0.8.686.jar	cognitect/aws/endpoint.clj	3818	1309	136921ea	deflated	1cfb4b709c59f9843e974649ffbc2a67860b7b4c8b2ca4d1f9fd1ef9196a21fb
api-0.8.686.jar	cognitect/aws/http.clj	2972	1182	c07be22c	deflated	4c2a83a40c344710f912b2caabc7708d2bd1fc04ed383b2a87e163be4fc17136
api-0.8.686.jar	cognitect/aws/http/cognitect.clj	440	249	95ad1c6d	deflated	463f7da26f899e23d85d2197824d91f8c156ab0e53133dea787d3f38930b00cf
api-0.8.686.jar	cognitect/aws/interceptors.clj	1724	726	d039d0fe	deflated	e6557d32a49feb334bb78157361a897812cf4ef6d3e9d75737780225b0677261
api-0.8.686.jar	cognitect/aws/protocols.clj	5513	1805	d146246d	deflated	5c7ef031d4e154103319b50121ed95462545e312305e1d82595e86d8e45e3c70
api-0.8.686.jar	cognitect/aws/protocols/ec2.clj	1874	622	a8b7943b	deflated	9aa5cb911ebd5c977de8aa4f9e89c6fd66b395399daea9283cf2b0b58dced0b9
api-0.8.686.jar	cognitect/aws/protocols/json.clj	1391	523	411086b9	deflated	8b0b18b55c65642ec74213491d04d3e3ce67761a760b289260d70a82bd727db5
api-0.8.686.jar	cognitect/aws/protocols/query.clj	4472	1222	81bd8f09	deflated	69771880feef63e66a93e41f40dabc2b50de1ae9fd450297a1fa5743e6ab97cd
api-0.8.686.jar	cognitect/aws/protocols/rest.clj	12453	2864	5a831d71	deflated	c3ae295af5aad6bcff2943bcd7dbdc49faa854d4641b105ab8d3addf0bb6c620
api-0.8.686.jar	cognitect/aws/protocols/rest_json.clj	1373	507	b6749b7d	deflated	75c35398b83541877106dea1d199acf6505fe2f96656d34a34e962b68c59a6eb
api-0.8.686.jar	cognitect/aws/protocols/rest_xml.clj	950	358	6caca4c5	deflated	54aa1a94190b9328a259bfcf2a252d40fabd249a508c40760deb8661078feb17
api-0.8.686.jar	cognitect/aws/region.clj	3805	1250	05276fca	deflated	90693e738da3699c9ebd2cc6dc989cf3ff5f5f8fb1273f5afc1fd375d16e02b9
api-0.8.686.jar	cognitect/aws/retry.clj	1853	756	4e98b195	deflated	b8c5b6c2b926893cf2248d81cef2a73ceecf3dc82abc88fef1bc8f08b2c82739
api-0.8.686.jar	cognitect/aws/service.clj	3429	1112	c250ab84	deflated	7de401ca71fb52a51ccd61f35a57b4264ac097c2e03849af5675ec9d229597c8
api-0.8.686.jar	cognitect/aws/shape.clj	14138	3181	7fc583da	deflated	328c06e65b218270068b8a5f4d0527ccf8a71c1c0b8a2adfdf954e6a8f05f8d2
api-0.8.686.jar	cognitect/aws/signers.clj	7971	2416	29acacf0	deflated	86bc30ce78d5f8e4af2ca9955cbc404dee385e333075d7446a4ad7cd7cb6685e
api-0.8.686.jar	cognitect/aws/util.clj	9113	3225	84640a74	deflated	2ae632192f32225b941161c22edc2ce6305414098be5fcedb08b06a9b0bf74e7
api-0.8.686.jar	cognitect_aws_http.edn	55	50	2bf22395	deflated	614ff8793fe67c3501fde1cecf2435f3b86cfec93725cf8e4d1c2281b79c9b18
artemis-commons-2.31.2.jar	META-INF/DEPENDENCIES	2283	680	397d44a5	deflated	abd9690cde93938c7b9013301c97ea14ac3859feede01cfe44a7b52325411e76
artemis-commons-2.31.2.jar	META-INF/LICENSE	11667	4039	8d660a30	deflated	fc133c2698f3498589ea7d71918f6c4f9ecfb4168cbcb78bbf8449fba62d5779
artemis-commons-2.31.2.jar	META-INF/LICENSE.md	35084	11570	4688ba38	deflated	6e1f002892b81cbe0647019b150c8a056efc1add565671a4f8af629b6cd2cc7b
artemis-commons-2.31.2.jar	META-INF/MANIFEST.MF	346	176	8f25fca2	deflated	2fbc43e15ebd2a94f8e8f2794a6a48ef3d64d80a2e4cc63964076ffef7f9c6ef
artemis-commons-2.31.2.jar	META-INF/NOTICE	174	127	cdf639f0	deflated	60e0e191aac9b4b97e0fa00e573f8e32dad9e03b8596abb655118d9cbb32451c
artemis-commons-2.31.2.jar	META-INF/NOTICE.md	1707	817	ec5366ec	deflated	10ed15789b786b1137930d0b2fb6f2e771d72ad48db7425224385aec7050d7fd
artemis-commons-2.31.2.jar	META-INF/maven/jakarta.json/jakarta.json-api/pom.properties	137	119	57bf39fe	deflated	527540c71e1122241597c86c2fd2b15d2fabb860b7d5df56da26420e9994d200
artemis-commons-2.31.2.jar	META-INF/maven/jakarta.json/jakarta.json-api/pom.xml	6013	1766	dbdc2cfa	deflated	afb017976a217aad94e1b580709e29cf9f94942bb9c9449995c507c25402e73f
artemis-commons-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-commons/pom.properties	70	68	dc086cba	deflated	e8484270eeb1cb0767b5b3ab6162c904eee2186594c9c6bc1ce9935df2fccec7
artemis-commons-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-commons/pom.xml	6496	1716	016d6a8a	deflated	c3a69e39d61d3768e20a7d668c48e729b8898bd401edf2b1f540c748ff36e05e
artemis-commons-2.31.2.jar	META-INF/maven/org.apache.johnzon/johnzon-core/pom.properties	66	61	814ec5c7	deflated	55a3b0536a53598617ef98c491188d2aaa972f25b6a64afef2f6755de571328c
artemis-commons-2.31.2.jar	META-INF/maven/org.apache.johnzon/johnzon-core/pom.xml	3017	1206	10ebf9c4	deflated	5f0478be32fa49d3497db3a532d298d7ee673bc14bb85c9b32348932ce05a9e3
artemis-core-client-2.31.2.jar	META-INF/DEPENDENCIES	4588	801	3e4af097	deflated	7f2b5bdfa82ac5c6093e7f9064628b1edd84a7803e951c1342b0a90bcd27e051
artemis-core-client-2.31.2.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
artemis-core-client-2.31.2.jar	META-INF/MANIFEST.MF	354	178	d7e09727	deflated	5fd532036c7b9a54fb181af1efd179b6febd027d1a629471a41fd622179a3d97
artemis-core-client-2.31.2.jar	META-INF/NOTICE	178	128	e9035019	deflated	b9eb9a5bffe40c6b91607abf0ed96cee76630fe61b50faf7698be60163bf9511
artemis-core-client-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-core-client/pom.properties	74	70	88179934	deflated	9a395ef01ccc53a46d34ed5c27c6496f97805249ef15d4f6c8bff61ed9746db3
artemis-core-client-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-core-client/pom.xml	6904	1622	0fa74b19	deflated	a7ef6ed54a1e503ac21e9c41ca3c7754940dc0780e2a810a8029843157ce5f75
artemis-core-client-2.31.2.jar	META-INF/services/org.apache.activemq.artemis.spi.core.remoting.ssl.OpenSSLContextFactory	80	76	25c69526	deflated	e09cc33550c8c95e6751efb1cfe49422dc7e697937a5e97cd22d06a192b177bd
artemis-core-client-2.31.2.jar	META-INF/services/org.apache.activemq.artemis.spi.core.remoting.ssl.SSLContextFactory	76	73	866c31cc	deflated	822512a89d02f1f055df86b6006d9c389a207b0480debf2108b6271c7fa4ac15
artemis-core-client-2.31.2.jar	activemq-version.properties	1141	590	f901d462	deflated	d8abf108019f9da2317d353e73e5b0f86f5ee884f92a7c09ac9356f8a0be406b
artemis-jdbc-store-2.31.2.jar	META-INF/DEPENDENCIES	5852	984	fb1b4208	deflated	f6a84eb07368cc1a187030094e22d6e8b945eceb9732990fb4f81bd2001329d7
artemis-jdbc-store-2.31.2.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
artemis-jdbc-store-2.31.2.jar	META-INF/MANIFEST.MF	352	178	a1c30e3d	deflated	59c4bb7fcc5cb73d831fc7b028895cc7ad8ef17e180d5a7f8dec472ce217593e
artemis-jdbc-store-2.31.2.jar	META-INF/NOTICE	177	130	1eea10de	deflated	41dbe652cd56848c593630255d56c3391b40f7d549e0f9f6584a6d1c22ded459
artemis-jdbc-store-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-jdbc-store/pom.properties	73	70	89ebf857	deflated	fb14cff92724b1b8729e43eafcf536e0729896caee902a1e7d61c1129aae4ef7
artemis-jdbc-store-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-jdbc-store/pom.xml	3350	993	4fa2be6f	deflated	22f70ef52601bd81841943a3c60a100532206ad4fc1dcc0f1822ecdaec95d834
artemis-jdbc-store-2.31.2.jar	journal-sql.properties	7707	2109	be887b0b	deflated	e6bbc9811b672bd1dfdf1dba34ceb30387f3bffce4f793210e047d0e7a6be898
artemis-journal-2.31.2.jar	META-INF/DEPENDENCIES	2296	639	1a7077b3	deflated	36430059babb5daf1e93c06980c66cac114aa21297c2fa6eae4967acaa7167c5
artemis-journal-2.31.2.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
artemis-journal-2.31.2.jar	META-INF/MANIFEST.MF	346	176	01ebc723	deflated	16fd764fc6592d3015d4eb20f61bbde44c094808d3eb2209600a11a4eea9c6fb
artemis-journal-2.31.2.jar	META-INF/NOTICE	174	127	f338e684	deflated	9e1fc422577ea5e6336f1d1d0134e2f30fff653389c5a05525f08f7b0b78eb24
artemis-journal-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-journal/pom.properties	70	69	5fcbb228	deflated	91f0e9c20da0ebd927c97c17a4cb4ec4e1d00210ce634c035f7119d05d2cb9f4
artemis-journal-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-journal/pom.xml	3378	1017	59e093f4	deflated	f59940a991e4eeecf62b47245fc9ad0151df2be4c4f196d8f65fa8cf6a090171
artemis-quorum-api-2.31.2.jar	META-INF/DEPENDENCIES	277	123	9b3181a2	deflated	33a78f44afe1481f44f7f3aa0ac0258fc9c10bcfdec782dc26cdc0daa7bd5a0f
artemis-quorum-api-2.31.2.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
artemis-quorum-api-2.31.2.jar	META-INF/MANIFEST.MF	1249	674	6c9993cb	deflated	5e3815658dc43ea90d0f4b0c41b3cdeab185d73fae3083a69d5f79a311ac9a09
artemis-quorum-api-2.31.2.jar	META-INF/NOTICE	177	130	7af61df1	deflated	19863aa9beab78207a8acbed8c949f7a48520eec1607bd043bfd2a62d3e90b0e
artemis-quorum-api-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-quorum-api/pom.properties	73	70	ff86da63	deflated	7098a423eb8fa13b8b19447d347687bd10c5b990e242397266762795958f7041
artemis-quorum-api-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-quorum-api/pom.xml	1406	725	d7c2d3a4	deflated	8052d91986ebd32cc3a658cb9b3fa7739a90c3fb8d74d6fdb78fc843bc5c3e77
artemis-selector-2.31.2.jar	META-INF/DEPENDENCIES	1708	465	d2f75a0d	deflated	d2d24ea42254362f4c72ac771072e3b64d9d019332109b194aa5a17fbc7818ca
artemis-selector-2.31.2.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
artemis-selector-2.31.2.jar	META-INF/MANIFEST.MF	378	180	bbdea6d8	deflated	7dee0caaa9df4b1a3187a7aa12b31c54f93c23985fa4af7de865d23bc20a575a
artemis-selector-2.31.2.jar	META-INF/NOTICE	190	136	dd1145b0	deflated	4cb90e2f97f9e5fceba90c077251461aa6de4ada82ad0c6ecdf2a4857832039e
artemis-selector-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-selector/pom.properties	71	68	c2caf0fe	deflated	499a8140f39a8b83ba79cee2a15e9406e84630cf9906681c13726594e787a2cb
artemis-selector-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-selector/pom.xml	4897	1365	04bb3567	deflated	111c8d8a31850401a3ea42dec1a531c43bbb2073aeba38fe4f882110559460bb
artemis-server-2.31.2.jar	META-INF/DEPENDENCIES	7419	1162	025f67fc	deflated	7f67c9b3973cb5a01352be69b6c5cf388d5343b8231ebf88f680b718b6a06990
artemis-server-2.31.2.jar	META-INF/LICENSE	11358	3949	86e2b4b4	deflated	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
artemis-server-2.31.2.jar	META-INF/MANIFEST.MF	344	175	e5b45d79	deflated	cb5e8b81ee0078b805a7813024bd49c50cd17cf019ca776018b8b4666b2e7057
artemis-server-2.31.2.jar	META-INF/NOTICE	173	125	ccdbec1b	deflated	20955e3c5eb962f92cff51ff2fd6d4268770ccca16033649785d1fe18bddb9e0
artemis-server-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-server/pom.properties	69	67	64da4626	deflated	92b2f22bd24e9c0e46f842c0d9a2a649c760687433fa018c0bc2b5330c15ec76
artemis-server-2.31.2.jar	META-INF/maven/org.apache.activemq/artemis-server/pom.xml	12937	2231	5e97e661	deflated	45a7ef2f1bed6f589773a7df4aadf309147056cb666491475ad3745604625270
artemis-server-2.31.2.jar	schema/artemis-configuration.xsd	222602	22239	93f930a7	deflated	e3c5c1906ea4b50f06e05fe5c04a2ae35d6c3791e4eef774eb512478efada32a
artemis-server-2.31.2.jar	schema/artemis-server.xsd	2145	913	ef9d3c53	deflated	b9a5821784dce492d8cda6c3d338ad743b30fc1c48654d11c16c9acd34ba4eb7
artemis-server-2.31.2.jar	schema/xml.xsd	5832	1949	11006b67	deflated	a20d46f47bc925931ec19e4bcbedfbe4233a39b42bfa45a81077978442d21ccc
asm-9.2.jar	META-INF/MANIFEST.MF	508	287	e73ce69f	deflated	6c4751f51044686640143f55b82fc916cb7acf0295fc9a8cbd954d27c74c0fc9
asm-analysis-5.0.3.jar	META-INF/MANIFEST.MF	745	357	edba790a	deflated	2b6a20ec6635dad0570622f42abbcb6781310f32821b9b985cca6ae9928be9d6
asm-commons-5.0.3.jar	META-INF/MANIFEST.MF	792	363	33524d82	deflated	6ca83edadfe11fefca800ebe97cbcdf46207c3a8d56f54d9b1a3fcc64fd11df1
asm-tree-5.0.3.jar	META-INF/MANIFEST.MF	634	331	5978fafb	deflated	7136ea31ecc78a635b0c69720fdfe84c0b7111e007e28fcb16468c698f4a642d
asm-util-5.0.3.jar	META-INF/MANIFEST.MF	869	381	71bd5edc	deflated	5ae62cd7e501e7d2276c5aed0d303b35a0570637ca6bdf0a6945ef5eae967d84
auth-2.15.66.jar	META-INF/LICENSE.txt	11679	4051	ba81ea6b	deflated	14c6a5fbdbd6b87244abeb494712b9922d43f53afb658a42014c66da8e0c4403
auth-2.15.66.jar	META-INF/MANIFEST.MF	147	130	5b9fcb02	deflated	dc66a78e613907effdb719c46bdeeb1648a02894697389647c193a1d61c7c659
auth-2.15.66.jar	META-INF/NOTICE.txt	775	446	2311f95b	deflated	b5bbdba9fccbdae9fef728b4d17c5d14dbaa9fb2476afa32d68f7dbe3472dddd
auth-2.15.66.jar	META-INF/maven/software.amazon.awssdk/auth/pom.properties	94	92	ca1618b8	deflated	4db27a6bb02f8d7fd6a4a6e699fe6eeb143fbd6a99e8a66feb9c3c29b7802339
auth-2.15.66.jar	META-INF/maven/software.amazon.awssdk/auth/pom.xml	5579	1186	802c9132	deflated	a72f009f89ed9b7f2f53dfc05d502c6b7d2eef094e9f206bb8e43459c50eb132
aws-java-sdk-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk/pom.properties	113	111	43251d24	deflated	46656726501d1f01a9676a96abaf8c6814fc63e53616716b40364226714c2e8e
aws-java-sdk-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk/pom.xml	80104	3957	1039e6e8	deflated	11b12f76a4ce8cfc908e4ab3032c92ff7fad44117cd12345d670cfa21a675d48
aws-java-sdk-accessanalyzer-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-accessanalyzer-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-accessanalyzer/pom.properties	128	121	732bea6e	deflated	1072e0d5dfa94b135ca8f1adde38086a4beda0457ef46496382d5bd8f6200400
aws-java-sdk-accessanalyzer-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-accessanalyzer/pom.xml	3578	1047	892c16f2	deflated	37c1599380139decb93e716936fd0b9ccc3436be108dd264a745e5177983df58
aws-java-sdk-account-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-account-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-account/pom.properties	121	117	a117b7f8	deflated	54e7ce441eb525a5946f274e761321efee54cd6feb49a69c33fca225576a5999
aws-java-sdk-account-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-account/pom.xml	3552	1042	5307253b	deflated	215441ea4e3476c3e35b3d7d312ffcb5a0a347ca50ef0a17fed25ad125013a84
aws-java-sdk-acm-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-acm-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-acm/pom.properties	117	115	b4d02bb0	deflated	76981e04a0fc5b69052cb272a962d2cf34c0735a0cd488a918381f336c19fbf9
aws-java-sdk-acm-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-acm/pom.xml	3581	1046	0eb72127	deflated	c1ad74188c2202ae80a9015f48c873e7af3cb442663d0c24c3e606e6a2cf2f9c
aws-java-sdk-acmpca-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-acmpca-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-acmpca/pom.properties	120	115	e82150e7	deflated	59b17292c0f857055f4ebd03e7ba674ed7276a4a8ea549c28289d5a5b751b571
aws-java-sdk-acmpca-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-acmpca/pom.xml	3676	1065	8aa4880c	deflated	a9efb8762e1e5f08d0f5411967f7fc5f32f0ffe0728a4ef041ec31a50d8e48fc
aws-java-sdk-alexaforbusiness-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-alexaforbusiness-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-alexaforbusiness/pom.properties	130	123	c3ea0bc2	deflated	18a22c4dcecfa9445822222752e511d7dcbcc3e9793703b81c9cff276927e373
aws-java-sdk-alexaforbusiness-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-alexaforbusiness/pom.xml	3591	1052	b61c1ac8	deflated	afa9c8044020427c1da568443c931ce3329d6e7502c2858fc89b0e5590b2d0fb
aws-java-sdk-amplify-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-amplify-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-amplify/pom.properties	121	117	82b7dec7	deflated	19e9c9fac6643308733992637b6ec39a20fd8b693beae897d2b5a54047f29b89
aws-java-sdk-amplify-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-amplify/pom.xml	3552	1040	d5cf50e6	deflated	8afca05f2b41fdcb40a5594edfb9de4137a9c745690b4f419c068655a3110577
aws-java-sdk-amplifybackend-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-amplifybackend-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-amplifybackend/pom.properties	128	122	f789e2ea	deflated	b4a7ab4f8495f07b18efea2e3b2e432b24d98cae3250d6b45981e7a83d5efb81
aws-java-sdk-amplifybackend-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-amplifybackend/pom.xml	3575	1050	a2d1979e	deflated	dd4fede3d535260b8b5987979c1d448756a3d513e290c65c43a308e76f64ea27
aws-java-sdk-amplifyuibuilder-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
aws-java-sdk-amplifyuibuilder-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-amplifyuibuilder/pom.properties	130	123	de2f209e	deflated	2d69ea9d8a3a7afdcafb599d06c6ca1a1730be769880ece18d36bdc1c8b24294
aws-java-sdk-amplifyuibuilder-1.12.564.jar	META-INF/maven/com.amazonaws/aws-java-sdk-amplifyuibuilder/pom.xml	3603	1054	29b5c009	deflated	5186af6246f5103ca3f7a29373fd28a0660c37fcba1ca5ce304b5ab9ab3be08c
aws-java-sdk-api-gateway-1.12.564.jar	META-INF/MANIFEST.MF	130	108	08960c59	deflated	3361b4fae45527150983b918ea4f23f365809055f11e87101dc864076e083a81
